time;V(/VOUT);V(Net-_D1-K_);
0.0383018;3.61582;1.71777;
0.0384018;3.61137;1.71351;
0.0385018;3.61582;1.71777;
0.0386018;3.61137;1.71351;
0.0387018;3.61582;1.71777;
0.0388018;3.61137;1.71351;
0.0389018;3.61582;1.71777;
0.0390018;3.61137;1.71351;
0.0391018;3.61582;1.71777;
0.0392018;3.61137;1.71351;
0.0393018;3.61582;1.71777;
0.0394018;3.61137;1.71351;
0.0395018;3.61582;1.71777;
0.0396018;3.61137;1.71351;
0.0397018;3.61582;1.71777;
0.0398018;3.61137;1.71351;
0.0399018;3.61582;1.71777;
0.0400018;3.61137;1.71351;
0.0401018;3.61582;1.71777;
0.0402018;3.61137;1.71351;
0.0403018;3.61582;1.71777;
0.0404018;3.61137;1.71351;
0.0405018;3.61582;1.71777;
0.0406018;3.61137;1.71351;
0.0407018;3.61582;1.71777;
0.0408018;3.61137;1.71351;
0.0409018;3.61582;1.71777;
0.0410018;3.61137;1.71351;
0.0411018;3.61582;1.71777;
0.0412018;3.61137;1.71351;
0.0413018;3.61582;1.71777;
0.0414018;3.61137;1.71351;
0.0415018;3.61582;1.71777;
0.0416018;3.61137;1.71351;
0.0417018;3.61582;1.71777;
0.0418018;3.61137;1.71351;
0.0419018;3.61582;1.71777;
0.0420018;3.61137;1.71351;
0.0421018;3.61582;1.71777;
0.0422018;3.61137;1.71351;
0.0423018;3.61582;1.71777;
0.0424018;3.61137;1.71351;
0.0425018;3.61582;1.71777;
0.0426018;3.61137;1.71351;
0.0427018;3.61582;1.71777;
0.0428018;3.61137;1.71352;
0.0429018;3.61582;1.71777;
0.0430018;3.61137;1.71352;
0.0431018;3.61582;1.71777;
0.0432018;3.61137;1.71352;
0.0433018;3.61582;1.71777;
0.0434018;3.61137;1.71352;
0.0435018;3.61582;1.71777;
0.0436018;3.61137;1.71352;
0.0437018;3.61582;1.71777;
0.0438018;3.61137;1.71352;
0.0439018;3.61582;1.71777;
0.0440018;3.61137;1.71352;
0.0441018;3.61582;1.71777;
0.0442018;3.61137;1.71352;
0.0443018;3.61582;1.71777;
0.0444018;3.61137;1.71352;
0.0445018;3.61582;1.71777;
0.0446018;3.61137;1.71352;
0.0447018;3.61582;1.71777;
0.0448018;3.61137;1.71352;
0.0449018;3.61582;1.71777;
0.0450018;3.61137;1.71352;
0.0451018;3.61582;1.71777;
0.0452018;3.61137;1.71352;
0.0453018;3.61582;1.71777;
0.0454018;3.61137;1.71352;
0.0455018;3.61582;1.71777;
0.0456018;3.61137;1.71352;
0.0457018;3.61582;1.71777;
0.0458018;3.61137;1.71352;
0.0459018;3.61582;1.71777;
0.0460018;3.61137;1.71352;
0.0461018;3.61582;1.71777;
0.0462018;3.61137;1.71352;
0.0463018;3.61582;1.71777;
0.0464018;3.61137;1.71352;
0.0465018;3.61582;1.71777;
0.0466018;3.61137;1.71352;
0.0467018;3.61582;1.71777;
0.0468018;3.61137;1.71352;
0.0469018;3.61582;1.71777;
0.0470018;3.61137;1.71352;
0.0471018;3.61582;1.71777;
0.0472018;3.61137;1.71352;
0.0473018;3.61582;1.71777;
0.0474018;3.61137;1.71352;
0.0475018;3.61582;1.71777;
0.0476018;3.61137;1.71352;
0.0477018;3.61582;1.71777;
0.0478018;3.61137;1.71352;
0.0479018;3.61582;1.71777;
0.0480018;3.61137;1.71352;
0.0481018;3.61582;1.71777;
0.0482018;3.61137;1.71352;
0.0483018;3.61582;1.71777;
0.0484018;3.61137;1.71352;
0.0485018;3.61582;1.71777;
0.0486018;3.61137;1.71352;
0.0487018;3.61582;1.71777;
0.0488018;3.61137;1.71352;
0.0489018;3.61582;1.71777;
0.0490018;3.61137;1.71352;
0.0491018;3.61582;1.71777;
0.0492018;3.61137;1.71352;
0.0493018;3.61582;1.71777;
0.0494018;3.61137;1.71352;
0.0495018;3.61582;1.71777;
0.0496018;3.61137;1.71352;
0.0497018;3.61582;1.71777;
0.0498018;3.61137;1.71352;
0.0499018;3.61582;1.71777;
0.0500018;3.61137;1.71352;
0.0501018;3.61582;1.71777;
0.0502018;3.61137;1.71352;
0.0503018;3.61582;1.71777;
0.0504018;3.61137;1.71352;
0.0505018;3.61582;1.71776;
0.0506018;3.61137;1.71352;
0.0507018;3.61582;1.71776;
0.0508018;3.61137;1.71352;
0.0509018;3.61581;1.71776;
0.0510018;3.61137;1.71352;
0.0511018;3.61581;1.71776;
0.0512018;3.61137;1.71352;
0.0513018;3.61581;1.71776;
0.0514018;3.61137;1.71352;
0.0515018;3.61581;1.71776;
0.0516018;3.61138;1.71352;
0.0517018;3.61581;1.71776;
0.0518018;3.61138;1.71352;
0.0519018;3.61581;1.71776;
0.0520018;3.61138;1.71352;
0.0521018;3.61581;1.71776;
0.0522018;3.61138;1.71352;
0.0523018;3.61581;1.71776;
0.0524018;3.61138;1.71352;
0.0525018;3.61581;1.71776;
0.0526018;3.61138;1.71352;
0.0527018;3.61581;1.71776;
0.0528018;3.61138;1.71352;
0.0529018;3.61581;1.71776;
0.0530018;3.61138;1.71352;
0.0531018;3.61581;1.71776;
0.0532018;3.61138;1.71352;
0.0533018;3.61581;1.71776;
0.0534018;3.61138;1.71352;
0.0535018;3.61581;1.71776;
0.0536018;3.61138;1.71352;
0.0537018;3.61581;1.71776;
0.0538018;3.61138;1.71352;
0.0539018;3.61581;1.71776;
0.0540018;3.61138;1.71352;
0.0541018;3.61581;1.71776;
0.0542018;3.61138;1.71352;
0.0543018;3.61581;1.71776;
0.0544018;3.61138;1.71352;
0.0545018;3.61581;1.71776;
