time;V(/VCAP);V(/VOUT);
0.0252978;2.21443;3.61584;
0.0253978;2.21582;3.61136;
0.0254978;2.21721;3.61584;
0.0255978;2.2186;3.61136;
0.0256978;2.22;3.61584;
0.0257978;2.22138;3.61136;
0.0258978;2.22277;3.61584;
0.0259978;2.22416;3.61136;
0.0260978;2.22555;3.61584;
0.0261978;2.22694;3.61136;
0.0262978;2.22832;3.61584;
0.0263978;2.22971;3.61136;
0.0264978;2.23109;3.61584;
0.0265978;2.23248;3.61136;
0.0266978;2.23386;3.61584;
0.0267978;2.23524;3.61136;
0.0268978;2.23662;3.61584;
0.0269978;2.23801;3.61136;
0.0270978;2.23939;3.61584;
0.0271978;2.24077;3.61136;
0.0272978;2.24215;3.61584;
0.0273978;2.24352;3.61136;
0.0274978;2.2449;3.61584;
0.0275978;2.24628;3.61136;
0.0276978;2.24766;3.61584;
0.0277978;2.24903;3.61136;
0.0278978;2.25041;3.61584;
0.0279978;2.25178;3.61136;
0.0280978;2.25315;3.61584;
0.0281978;2.25453;3.61136;
0.0282978;2.2559;3.61584;
0.0283978;2.25727;3.61136;
0.0284978;2.25864;3.61584;
0.0285978;2.26001;3.61136;
0.0286978;2.26138;3.61584;
0.0287978;2.26275;3.61136;
0.0288978;2.26412;3.61584;
0.0289978;2.26549;3.61136;
0.0290978;2.26685;3.61584;
0.0291978;2.26822;3.61136;
0.0292978;2.26959;3.61584;
0.0293978;2.27095;3.61136;
0.0294978;2.27231;3.61584;
0.0295978;2.27368;3.61136;
0.0296978;2.27504;3.61584;
0.0297978;2.2764;3.61136;
0.0298978;2.27776;3.61584;
0.0299978;2.27912;3.61136;
0.0300978;2.28048;3.61584;
0.0301978;2.28184;3.61136;
0.0302978;2.2832;3.61584;
0.0303978;2.28456;3.61136;
0.0304978;2.28592;3.61584;
0.0305978;2.28727;3.61136;
0.0306978;2.28863;3.61584;
0.0307978;2.28999;3.61136;
0.0308978;2.29134;3.61584;
0.0309978;2.29269;3.61136;
0.0310978;2.29405;3.61584;
0.0311978;2.2954;3.61136;
0.0312978;2.29675;3.61584;
0.0313978;2.2981;3.61136;
0.0314978;2.29945;3.61584;
0.0315978;2.3008;3.61136;
0.0316978;2.30215;3.61584;
0.0317978;2.3035;3.61136;
0.0318978;2.30485;3.61584;
0.0319978;2.3062;3.61136;
0.0320978;2.30754;3.61584;
0.0321978;2.30889;3.61136;
0.0322978;2.31023;3.61584;
0.0323978;2.31158;3.61136;
0.0324978;2.31292;3.61584;
0.0325978;2.31426;3.61136;
0.0326978;2.31561;3.61584;
0.0327978;2.31695;3.61136;
0.0328978;2.31829;3.61584;
0.0329978;2.31963;3.61136;
0.0330978;2.32097;3.61584;
0.0331978;2.32231;3.61136;
0.0332978;2.32365;3.61584;
0.0333978;2.32499;3.61136;
0.0334978;2.32632;3.61584;
0.0335978;2.32766;3.61136;
0.0336978;2.329;3.61584;
0.0337978;2.33033;3.61136;
0.0338978;2.33166;3.61584;
0.0339978;2.333;3.61136;
0.0340978;2.33433;3.61584;
0.0341978;2.33566;3.61136;
0.0342978;2.337;3.61584;
0.0343978;2.33833;3.61136;
0.0344978;2.33966;3.61584;
0.0345978;2.34099;3.61136;
0.0346978;2.34232;3.61584;
0.0347978;2.34364;3.61136;
0.0348978;2.34497;3.61584;
0.0349978;2.3463;3.61136;
0.0350978;2.34763;3.61584;
0.0351978;2.34895;3.61136;
0.0352978;2.35028;3.61584;
0.0353978;2.3516;3.61136;
0.0354978;2.35293;3.61584;
0.0355978;2.35425;3.61136;
0.0356978;2.35557;3.61584;
0.0357978;2.35689;3.61136;
0.0358978;2.35821;3.61584;
0.0359978;2.35953;3.61136;
0.0360978;2.36085;3.61584;
0.0361978;2.36217;3.61136;
0.0362978;2.36349;3.61584;
0.0363978;2.36481;3.61136;
0.0364978;2.36613;3.61584;
0.0365978;2.36744;3.61136;
0.0366978;2.36876;3.61584;
0.0367978;2.37007;3.61136;
0.0368978;2.37139;3.61584;
0.0369978;2.3727;3.61136;
