time;V(/VCAP);V(/VOUT);
0.041728;1.94015;3.44797;
0.041828;1.94041;3.44797;
0.041928;1.94066;3.44797;
0.042028;1.94092;3.44797;
0.042128;1.94117;3.44797;
0.042228;1.94143;3.44797;
0.042328;1.94168;3.44797;
0.042428;1.94194;3.44797;
0.042528;1.94219;3.44797;
0.042628;1.94245;3.44797;
0.042728;1.9427;3.44797;
0.042828;1.94295;3.44797;
0.042928;1.94321;3.44797;
0.043028;1.94346;3.44797;
0.043128;1.94372;3.44797;
0.043228;1.94397;3.44797;
0.043328;1.94423;3.44797;
0.043428;1.94448;3.44797;
0.043528;1.94474;3.44797;
0.043628;1.94499;3.44797;
0.043728;1.94525;3.44797;
0.043828;1.9455;3.44797;
0.043928;1.94576;3.44797;
0.044028;1.94601;3.44797;
0.044128;1.94627;3.44797;
0.044228;1.94652;3.44797;
0.044328;1.94677;3.44797;
0.044428;1.94703;3.44797;
0.044528;1.94728;3.44797;
0.044628;1.94754;3.44797;
0.044728;1.94779;3.44797;
0.044828;1.94805;3.44797;
0.044928;1.9483;3.44797;
0.045028;1.94856;3.44797;
0.045128;1.94881;3.44797;
0.045228;1.94906;3.44797;
0.045328;1.94932;3.44797;
0.045428;1.94957;3.44797;
0.045528;1.94983;3.44797;
0.045628;1.95008;3.44797;
0.045728;1.95034;3.44797;
0.045828;1.95059;3.44797;
0.045928;1.95084;3.44797;
0.046028;1.9511;3.44797;
0.046128;1.95135;3.44797;
0.046228;1.95161;3.44797;
0.046328;1.95186;3.44797;
0.046428;1.95211;3.44797;
0.046528;1.95237;3.44797;
0.046628;1.95262;3.44797;
0.046728;1.95288;3.44797;
0.046828;1.95313;3.44797;
0.046928;1.95338;3.44797;
0.047028;1.95364;3.44797;
0.047128;1.95389;3.44797;
0.047228;1.95415;3.44797;
0.047328;1.9544;3.44797;
0.047428;1.95465;3.44797;
0.047528;1.95491;3.44797;
0.047628;1.95516;3.44797;
0.047728;1.95541;3.44797;
0.047828;1.95567;3.44797;
0.047928;1.95592;3.44797;
0.048028;1.95618;3.44797;
0.048128;1.95643;3.44797;
0.048228;1.95668;3.44797;
0.048328;1.95694;3.44797;
0.048428;1.95719;3.44797;
0.048528;1.95744;3.44797;
0.048628;1.9577;3.44797;
0.048728;1.95795;3.44797;
0.048828;1.9582;3.44797;
0.048928;1.95846;3.44797;
0.049028;1.95871;3.44797;
0.049128;1.95897;3.44797;
0.049228;1.95922;3.44797;
0.049328;1.95947;3.44797;
0.049428;1.95973;3.44797;
0.049528;1.95998;3.44797;
0.049628;1.96023;3.44797;
0.049728;1.96049;3.44797;
0.049828;1.96074;3.44797;
0.049928;1.96099;3.44797;
0.050028;1.96125;3.44797;
0.050128;1.9615;3.44797;
0.050228;1.96175;3.44797;
0.050328;1.96201;3.44797;
0.050428;1.96226;3.44797;
0.050528;1.96251;3.44797;
0.050628;1.96276;3.44797;
0.050728;1.96302;3.44797;
0.050828;1.96327;3.44797;
0.050928;1.96352;3.44797;
0.051028;1.96378;3.44797;
0.051128;1.96403;3.44797;
0.051228;1.96428;3.44797;
0.051328;1.96454;3.44797;
0.051428;1.96479;3.44797;
0.051528;1.96504;3.44797;
0.051628;1.9653;3.44797;
0.051728;1.96555;3.44797;
0.051828;1.9658;3.44797;
0.051928;1.96605;3.44797;
0.052028;1.96631;3.44797;
0.052128;1.96656;3.44797;
0.052228;1.96681;3.44797;
0.052328;1.96707;3.44797;
0.052428;1.96732;3.44797;
0.052528;1.96757;3.44797;
0.052628;1.96782;3.44797;
0.052728;1.96808;3.44797;
0.052828;1.96833;3.44797;
0.052928;1.96858;3.44797;
0.053028;1.96883;3.44797;
0.053128;1.96909;3.44797;
0.053228;1.96934;3.44797;
0.053328;1.96959;3.44797;
0.053428;1.96984;3.44797;
0.053528;1.9701;3.44797;
0.053628;1.97035;3.44797;
0.053728;1.9706;3.44797;
0.053828;1.97085;3.44797;
0.053928;1.97111;3.44797;
0.054028;1.97136;3.44797;
0.054128;1.97161;3.44797;
0.054228;1.97186;3.44797;
0.054328;1.97212;3.44797;
0.054428;1.97237;3.44797;
