time;V(/VCAP);V(/VOUT);
0.0175018;1.89941;3.61582;
0.0176018;1.89985;3.61137;
0.0177018;1.9003;3.61582;
0.0178018;1.90074;3.61137;
0.0179018;1.90118;3.61582;
0.0180018;1.90162;3.61137;
0.0181018;1.90207;3.61582;
0.0182018;1.90251;3.61137;
0.0183018;1.90295;3.61582;
0.0184018;1.90339;3.61137;
0.0185018;1.90384;3.61582;
0.0186018;1.90428;3.61137;
0.0187018;1.90472;3.61582;
0.0188018;1.90516;3.61137;
0.0189018;1.90561;3.61582;
0.0190018;1.90605;3.61137;
0.0191018;1.90649;3.61582;
0.0192018;1.90693;3.61137;
0.0193018;1.90737;3.61582;
0.0194018;1.90782;3.61137;
0.0195018;1.90826;3.61582;
0.0196018;1.9087;3.61137;
0.0197018;1.90914;3.61582;
0.0198018;1.90958;3.61137;
0.0199018;1.91002;3.61582;
0.0200018;1.91047;3.61137;
0.0201018;1.91091;3.61582;
0.0202018;1.91135;3.61137;
0.0203018;1.91179;3.61582;
0.0204018;1.91223;3.61137;
0.0205018;1.91267;3.61582;
0.0206018;1.91311;3.61137;
0.0207018;1.91355;3.61582;
0.0208018;1.914;3.61137;
0.0209018;1.91444;3.61582;
0.0210018;1.91488;3.61137;
0.0211018;1.91532;3.61582;
0.0212018;1.91576;3.61137;
0.0213018;1.9162;3.61582;
0.0214018;1.91664;3.61137;
0.0215018;1.91708;3.61582;
0.0216018;1.91752;3.61137;
0.0217018;1.91796;3.61582;
0.0218018;1.9184;3.61137;
0.0219018;1.91884;3.61582;
0.0220018;1.91928;3.61137;
0.0221018;1.91972;3.61582;
0.0222018;1.92016;3.61137;
0.0223018;1.9206;3.61582;
0.0224018;1.92104;3.61137;
0.0225018;1.92148;3.61582;
0.0226018;1.92192;3.61137;
0.0227018;1.92236;3.61582;
0.0228018;1.9228;3.61137;
0.0229018;1.92324;3.61582;
0.0230018;1.92368;3.61137;
0.0231018;1.92412;3.61582;
0.0232018;1.92456;3.61137;
0.0233018;1.925;3.61582;
0.0234018;1.92544;3.61137;
0.0235018;1.92588;3.61582;
0.0236018;1.92632;3.61137;
0.0237018;1.92676;3.61582;
0.0238018;1.9272;3.61137;
0.0239018;1.92763;3.61582;
0.0240018;1.92807;3.61137;
0.0241018;1.92851;3.61582;
0.0242018;1.92895;3.61137;
0.0243018;1.92939;3.61582;
0.0244018;1.92983;3.61137;
0.0245018;1.93027;3.61582;
0.0246018;1.93071;3.61137;
0.0247018;1.93114;3.61582;
0.0248018;1.93158;3.61137;
0.0249018;1.93202;3.61582;
0.0250018;1.93246;3.61137;
0.0251018;1.9329;3.61582;
0.0252018;1.93334;3.61137;
