time;I(D1);P(R3);V(/VOUT);V(Net-_D1-K_);
0.0227018;0.00520537;0.00894157;3.61582;1.71777;
0.0228018;0.00519246;0.00889727;3.61137;1.71351;
0.0229018;0.00520537;0.00894157;3.61582;1.71777;
0.0230018;0.00519246;0.00889727;3.61137;1.71351;
0.0231018;0.00520537;0.00894157;3.61582;1.71777;
0.0232018;0.00519246;0.00889727;3.61137;1.71351;
0.0233018;0.00520537;0.00894157;3.61582;1.71777;
0.0234018;0.00519246;0.00889727;3.61137;1.71351;
0.0235018;0.00520537;0.00894157;3.61582;1.71777;
0.0236018;0.00519246;0.00889727;3.61137;1.71351;
0.0237018;0.00520537;0.00894157;3.61582;1.71777;
0.0238018;0.00519246;0.00889727;3.61137;1.71351;
0.0239018;0.00520537;0.00894157;3.61582;1.71777;
0.0240018;0.00519246;0.00889727;3.61137;1.71351;
0.0241018;0.00520537;0.00894157;3.61582;1.71777;
0.0242018;0.00519246;0.00889727;3.61137;1.71351;
0.0243018;0.00520537;0.00894157;3.61582;1.71777;
0.0244018;0.00519246;0.00889728;3.61137;1.71351;
0.0245018;0.00520537;0.00894157;3.61582;1.71777;
0.0246018;0.00519246;0.00889728;3.61137;1.71351;
0.0247018;0.00520537;0.00894157;3.61582;1.71777;
0.0248018;0.00519246;0.00889728;3.61137;1.71351;
0.0249018;0.00520537;0.00894157;3.61582;1.71777;
0.0250018;0.00519246;0.00889728;3.61137;1.71351;
0.0251018;0.00520537;0.00894157;3.61582;1.71777;
0.0252018;0.00519246;0.00889728;3.61137;1.71351;
0.0253018;0.00520537;0.00894157;3.61582;1.71777;
0.0254018;0.00519246;0.00889728;3.61137;1.71351;
0.0255018;0.00520537;0.00894157;3.61582;1.71777;
0.0256018;0.00519246;0.00889728;3.61137;1.71351;
0.0257018;0.00520537;0.00894157;3.61582;1.71777;
0.0258018;0.00519246;0.00889728;3.61137;1.71351;
0.0259018;0.00520537;0.00894157;3.61582;1.71777;
0.0260018;0.00519246;0.00889728;3.61137;1.71351;
0.0261018;0.00520537;0.00894157;3.61582;1.71777;
0.0262018;0.00519246;0.00889728;3.61137;1.71351;
0.0263018;0.00520537;0.00894157;3.61582;1.71777;
0.0264018;0.00519246;0.00889728;3.61137;1.71351;
0.0265018;0.00520536;0.00894157;3.61582;1.71777;
0.0266018;0.00519246;0.00889728;3.61137;1.71351;
0.0267018;0.00520536;0.00894157;3.61582;1.71777;
0.0268018;0.00519246;0.00889728;3.61137;1.71351;
0.0269018;0.00520536;0.00894157;3.61582;1.71777;
0.0270018;0.00519246;0.00889728;3.61137;1.71351;
0.0271018;0.00520536;0.00894157;3.61582;1.71777;
0.0272018;0.00519246;0.00889728;3.61137;1.71351;
0.0273018;0.00520536;0.00894157;3.61582;1.71777;
0.0274018;0.00519246;0.00889728;3.61137;1.71351;
0.0275018;0.00520536;0.00894156;3.61582;1.71777;
0.0276018;0.00519246;0.00889728;3.61137;1.71351;
0.0277018;0.00520536;0.00894156;3.61582;1.71777;
0.0278018;0.00519246;0.00889728;3.61137;1.71351;
0.0279018;0.00520536;0.00894156;3.61582;1.71777;
0.0280018;0.00519246;0.00889728;3.61137;1.71351;
0.0281018;0.00520536;0.00894156;3.61582;1.71777;
0.0282018;0.00519246;0.00889728;3.61137;1.71351;
0.0283018;0.00520536;0.00894156;3.61582;1.71777;
0.0284018;0.00519246;0.00889728;3.61137;1.71351;
0.0285018;0.00520536;0.00894156;3.61582;1.71777;
0.0286018;0.00519246;0.00889728;3.61137;1.71351;
0.0287018;0.00520536;0.00894156;3.61582;1.71777;
0.0288018;0.00519246;0.00889728;3.61137;1.71351;
0.0289018;0.00520536;0.00894156;3.61582;1.71777;
0.0290018;0.00519246;0.00889729;3.61137;1.71351;
0.0291018;0.00520536;0.00894156;3.61582;1.71777;
0.0292018;0.00519246;0.00889729;3.61137;1.71351;
0.0293018;0.00520536;0.00894156;3.61582;1.71777;
0.0294018;0.00519246;0.00889729;3.61137;1.71351;
0.0295018;0.00520536;0.00894156;3.61582;1.71777;
0.0296018;0.00519246;0.00889729;3.61137;1.71351;
0.0297018;0.00520536;0.00894156;3.61582;1.71777;
0.0298018;0.00519246;0.00889729;3.61137;1.71351;
0.0299018;0.00520536;0.00894156;3.61582;1.71777;
0.0300018;0.00519246;0.00889729;3.61137;1.71351;
0.0301018;0.00520536;0.00894156;3.61582;1.71777;
0.0302018;0.00519246;0.00889729;3.61137;1.71351;
0.0303018;0.00520536;0.00894156;3.61582;1.71777;
0.0304018;0.00519246;0.00889729;3.61137;1.71351;
0.0305018;0.00520536;0.00894156;3.61582;1.71777;
0.0306018;0.00519246;0.00889729;3.61137;1.71351;
0.0307018;0.00520536;0.00894156;3.61582;1.71777;
0.0308018;0.00519246;0.00889729;3.61137;1.71351;
0.0309018;0.00520536;0.00894156;3.61582;1.71777;
0.0310018;0.00519246;0.00889729;3.61137;1.71351;
0.0311018;0.00520536;0.00894156;3.61582;1.71777;
0.0312018;0.00519246;0.00889729;3.61137;1.71351;
0.0313018;0.00520536;0.00894156;3.61582;1.71777;
0.0314018;0.00519246;0.00889729;3.61137;1.71351;
0.0315018;0.00520536;0.00894156;3.61582;1.71777;
0.0316018;0.00519246;0.00889729;3.61137;1.71351;
0.0317018;0.00520536;0.00894156;3.61582;1.71777;
0.0318018;0.00519246;0.00889729;3.61137;1.71351;
0.0319018;0.00520536;0.00894156;3.61582;1.71777;
0.0320018;0.00519246;0.00889729;3.61137;1.71351;
0.0321018;0.00520536;0.00894156;3.61582;1.71777;
0.0322018;0.00519246;0.00889729;3.61137;1.71351;
0.0323018;0.00520536;0.00894155;3.61582;1.71777;
0.0324018;0.00519246;0.00889729;3.61137;1.71351;
0.0325018;0.00520536;0.00894155;3.61582;1.71777;
0.0326018;0.00519246;0.00889729;3.61137;1.71351;
0.0327018;0.00520536;0.00894155;3.61582;1.71777;
0.0328018;0.00519246;0.00889729;3.61137;1.71351;
0.0329018;0.00520536;0.00894155;3.61582;1.71777;
0.0330018;0.00519246;0.00889729;3.61137;1.71351;
0.0331018;0.00520536;0.00894155;3.61582;1.71777;
0.0332018;0.00519246;0.0088973;3.61137;1.71351;
0.0333018;0.00520536;0.00894155;3.61582;1.71777;
0.0334018;0.00519246;0.0088973;3.61137;1.71351;
0.0335018;0.00520536;0.00894155;3.61582;1.71777;
0.0336018;0.00519246;0.0088973;3.61137;1.71351;
0.0337018;0.00520536;0.00894155;3.61582;1.71777;
0.0338018;0.00519246;0.0088973;3.61137;1.71351;
0.0339018;0.00520536;0.00894155;3.61582;1.71777;
0.0340018;0.00519246;0.0088973;3.61137;1.71351;
0.0341018;0.00520536;0.00894155;3.61582;1.71777;
0.0342018;0.00519246;0.0088973;3.61137;1.71351;
0.0343018;0.00520536;0.00894155;3.61582;1.71777;
0.0344018;0.00519246;0.0088973;3.61137;1.71351;
0.0345018;0.00520536;0.00894155;3.61582;1.71777;
0.0346018;0.00519246;0.0088973;3.61137;1.71351;
0.0347018;0.00520536;0.00894155;3.61582;1.71777;
0.0348018;0.00519246;0.0088973;3.61137;1.71351;
0.0349018;0.00520536;0.00894155;3.61582;1.71777;
0.0350018;0.00519246;0.0088973;3.61137;1.71351;
0.0351018;0.00520536;0.00894155;3.61582;1.71777;
0.0352018;0.00519246;0.0088973;3.61137;1.71351;
0.0353018;0.00520536;0.00894155;3.61582;1.71777;
0.0354018;0.00519246;0.0088973;3.61137;1.71351;
0.0355018;0.00520536;0.00894155;3.61582;1.71777;
0.0356018;0.00519246;0.0088973;3.61137;1.71351;
0.0357018;0.00520536;0.00894155;3.61582;1.71777;
0.0358018;0.00519246;0.0088973;3.61137;1.71351;
0.0359018;0.00520536;0.00894155;3.61582;1.71777;
0.0360018;0.00519246;0.0088973;3.61137;1.71351;
0.0361018;0.00520536;0.00894155;3.61582;1.71777;
0.0362018;0.00519246;0.0088973;3.61137;1.71351;
0.0363018;0.00520536;0.00894155;3.61582;1.71777;
0.0364018;0.00519246;0.0088973;3.61137;1.71351;
0.0365018;0.00520536;0.00894155;3.61582;1.71777;
0.0366018;0.00519247;0.0088973;3.61137;1.71351;
0.0367018;0.00520536;0.00894154;3.61582;1.71777;
0.0368018;0.00519247;0.0088973;3.61137;1.71351;
0.0369018;0.00520536;0.00894154;3.61582;1.71777;
0.0370018;0.00519247;0.0088973;3.61137;1.71351;
0.0371018;0.00520536;0.00894154;3.61582;1.71777;
0.0372018;0.00519247;0.00889731;3.61137;1.71351;
0.0373018;0.00520536;0.00894154;3.61582;1.71777;
0.0374018;0.00519247;0.00889731;3.61137;1.71351;
0.0375018;0.00520536;0.00894154;3.61582;1.71777;
0.0376018;0.00519247;0.00889731;3.61137;1.71351;
0.0377018;0.00520536;0.00894154;3.61582;1.71777;
0.0378018;0.00519247;0.00889731;3.61137;1.71351;
0.0379018;0.00520536;0.00894154;3.61582;1.71777;
