time;P(R3);
0.0711018;0.00894145;
0.0712018;0.00889741;
0.0713018;0.00894145;
0.0714018;0.00889741;
0.0715018;0.00894145;
0.0716018;0.00889741;
0.0717018;0.00894145;
0.0718018;0.00889741;
0.0719018;0.00894145;
0.0720018;0.00889741;
0.0721018;0.00894145;
0.0722018;0.00889741;
0.0723018;0.00894145;
0.0724018;0.00889741;
0.0725018;0.00894145;
0.0726018;0.00889741;
0.0727018;0.00894145;
0.0728018;0.00889741;
0.0729018;0.00894145;
0.0730018;0.00889741;
0.0731018;0.00894145;
0.0732018;0.00889741;
0.0733018;0.00894145;
0.0734018;0.00889741;
0.0735018;0.00894144;
0.0736018;0.00889741;
0.0737018;0.00894144;
0.0738018;0.00889741;
0.0739018;0.00894144;
0.0740018;0.00889741;
0.0741018;0.00894144;
0.0742018;0.00889742;
0.0743018;0.00894144;
0.0744018;0.00889742;
0.0745018;0.00894144;
0.0746018;0.00889742;
0.0747018;0.00894144;
0.0748018;0.00889742;
0.0749018;0.00894144;
0.0750018;0.00889742;
0.0751018;0.00894144;
0.0752018;0.00889742;
0.0753018;0.00894144;
0.0754018;0.00889742;
0.0755018;0.00894144;
0.0756018;0.00889742;
0.0757018;0.00894144;
0.0758018;0.00889742;
0.0759018;0.00894144;
0.0760018;0.00889742;
0.0761018;0.00894144;
0.0762018;0.00889742;
0.0763018;0.00894144;
0.0764018;0.00889742;
0.0765018;0.00894144;
0.0766018;0.00889742;
0.0767018;0.00894143;
0.0768018;0.00889742;
0.0769018;0.00894143;
0.0770018;0.00889742;
0.0771018;0.00894143;
0.0772018;0.00889743;
0.0773018;0.00894143;
0.0774018;0.00889743;
0.0775018;0.00894143;
0.0776018;0.00889743;
0.0777018;0.00894143;
0.0778018;0.00889743;
0.0779018;0.00894143;
0.0780018;0.00889743;
0.0781018;0.00894143;
0.0782018;0.00889743;
0.0783018;0.00894143;
0.0784018;0.00889743;
0.0785018;0.00894143;
0.0786018;0.00889743;
0.0787018;0.00894143;
0.0788018;0.00889743;
0.0789018;0.00894143;
0.0790018;0.00889743;
0.0791018;0.00894143;
